Time,Symbol,Side,Price,Qty,Route,
05:53:29,VS,S,5.46,2278,SMRT,
05:53:00,VS,B,5.59,2278,SMRT,
05:52:18,VS,S,5.3,4729,SMRT,
05:51:56,VS,B,5.26,4729,SMRT,
05:50:15,STEC,B,2.25,37,SMRT,
05:49:22,STEC,B,2.27,4004,SMRT,
05:49:19,STEC,SS,2.16,4041,SMRT,
05:49:18,STEC,S,2.18,4041,SMRT,
05:49:07,STEC,B,2.23,4041,SMRT,
05:48:34,STEC,S,2.2,4156,SMRT,
05:48:06,STEC,B,2.13,4156,SMRT,
05:44:32,VS,S,5.2,4801,SMRT,
05:43:26,VS,B,5.19,4801,SMRT,
05:39:33,VS,S,5.82,2152,SMRT,
05:38:50,VS,B,6.03,2152,SMRT,
05:38:08,VS,S,5.88,2108,SMRT,
05:37:48,VS,B,6.19,2108,SMRT,
05:36:39,VS,S,5.93,2136,SMRT,
05:36:15,VS,B,6.05,2136,SMRT,
05:35:45,VS,S,6,4216,SMRT,
05:35:20,VS,B,6.3,2098,SMRT,
05:35:11,VS,B,6.17,2118,SMRT,
05:35:02,VS,S,6.05,4280,SMRT,
05:34:42,VS,B,6.07,2136,SMRT,
05:34:39,VS,B,6.06,2144,SMRT,
05:29:05,VS,S,5.97,832,SMRT,
05:27:45,VS,S,6,832,SMRT,
05:27:26,VS,S,6.02,554,SMRT,
05:27:18,VS,S,6,2217,SMRT,
05:27:08,VS,B,5.74,4435,SMRT,
05:26:42,VS,S,5.37,2317,SMRT,
05:26:21,VS,B,5.45,2317,SMRT,
05:24:22,VS,S,5.45,2278,SMRT,
05:23:39,VS,B,5.58,2278,SMRT,
05:23:10,VS,S,5.4,4547,SMRT,
05:22:45,VS,B,5.64,2263,SMRT,
05:22:31,VS,B,5.59,2284,SMRT,
05:16:59,VS,S,5.5,2278,SMRT,
05:16:21,VS,B,5.6,2278,SMRT,
05:11:10,VS,S,5.8,2160,SMRT,
05:10:53,VS,B,6,2160,SMRT,
05:09:24,VS,S,5.62,1801,SMRT,
05:09:16,VS,S,5.5,1801,SMRT,
05:09:11,VS,B,5.33,2339,SMRT,
05:08:34,VS,S,5.04,1263,SMRT,
05:08:22,VS,S,5.03,2525,SMRT,
05:08:16,VS,S,5.06,5050,SMRT,
05:08:06,VS,B,4.88,5014,SMRT,
05:07:56,VS,B,4.78,5087,SMRT,
05:06:10,VS,S,4.66,5109,SMRT,
05:05:54,VS,B,4.75,5109,SMRT,
05:05:34,VS,S,4.68,5169,SMRT,
05:05:14,VS,B,4.67,5169,SMRT,
05:03:57,VS,S,4.42,4042,SMRT,
05:03:54,VS,S,4.48,4041,SMRT,
05:03:43,VS,B,4.46,5327,SMRT,
05:03:39,VS,S,4.39,2755,SMRT,
05:03:33,VS,B,4.33,5511,SMRT,
05:01:44,VS,S,4.22,5384,SMRT,
05:01:31,VS,B,4.39,5384,SMRT,
04:59:40,VS,S,4.04,4496,SMRT,
04:58:59,VS,S,3.91,4495,SMRT,
04:58:48,VS,B,3.86,2936,SMRT,
04:58:33,VS,B,3.68,6055,SMRT,
04:58:16,VS,S,3.58,6065,SMRT,
04:58:10,VS,B,3.67,6065,SMRT,
04:57:55,VS,S,3.61,6034,SMRT,
04:57:48,VS,B,3.68,6034,SMRT,
